time	V(b0)	V(b1)	V(mosi)
7.185868887347258e-006	-3.978920e-007	4.994132e+000	0.000000e+000
7.355054519239893e-006	-2.154771e-007	4.993989e+000	0.000000e+000
7.565338540901752e-006	1.816004e-008	4.993916e+000	0.000000e+000
7.756384785750436e-006	2.360452e-007	4.993965e+000	0.000000e+000
8.066784576972565e-006	5.790750e-007	4.994297e+000	0.000000e+000
8.565430151637818e-006	1.065346e-006	4.995360e+000	0.000000e+000
9.335972294838252e-006	1.624598e-006	4.997838e+000	0.000000e+000
9.965448754743023e-006	1.834267e-006	5.000342e+000	0.000000e+000
1.051203147176820e-005	1.786377e-006	5.002644e+000	0.000000e+000
1.101533306340347e-005	1.571186e-006	5.004619e+000	0.000000e+000
1.140610055333893e-005	1.289194e-006	5.005905e+000	0.000000e+000
1.182217977228866e-005	9.069283e-007	5.006948e+000	0.000000e+000
1.213828609185156e-005	5.845598e-007	5.007507e+000	0.000000e+000
1.229683668947982e-005	4.082531e-007	5.007683e+000	0.000000e+000
1.245097544306231e-005	2.297496e-007	5.007771e+000	0.000000e+000
1.263176924849776e-005	2.343338e-008	5.007783e+000	0.000000e+000
1.286447210309050e-005	-2.364759e-007	5.007651e+000	0.000000e+000
1.324148455264091e-005	-6.378126e-007	5.007101e+000	0.000000e+000
1.384070522203119e-005	-1.188079e-006	5.005608e+000	0.000000e+000
1.442207948697207e-005	-1.557168e-006	5.003596e+000	0.000000e+000
1.505528577273258e-005	-1.709637e-006	5.001011e+000	0.000000e+000
1.575774382479104e-005	-1.560291e-006	4.998176e+000	0.000000e+000
1.652200643977276e-005	-1.089039e-006	4.995514e+000	0.000000e+000
1.682933887400916e-005	-8.089362e-007	4.994704e+000	0.000000e+000
1.704942057341730e-005	-5.748865e-007	4.994303e+000	0.000000e+000
1.721276313438076e-005	-3.987610e-007	4.994096e+000	0.000000e+000
1.738755102899987e-005	-2.087214e-007	4.993964e+000	0.000000e+000
1.760814168005745e-005	3.943760e-008	4.993914e+000	0.000000e+000
1.782604118303662e-005	2.872153e-007	4.994008e+000	0.000000e+000
1.817947330930856e-005	6.691249e-007	4.994477e+000	0.000000e+000
1.874355165836463e-005	1.185908e-006	4.995862e+000	0.000000e+000
1.959779081871973e-005	1.709987e-006	4.998857e+000	0.000000e+000
2.021422644302016e-005	1.815640e-006	5.001390e+000	0.000000e+000
2.072830948820171e-005	1.688279e-006	5.003513e+000	0.000000e+000
2.121018370332850e-005	1.424240e-006	5.005287e+000	0.000000e+000
2.157725277637811e-005	1.125191e-006	5.006384e+000	0.000000e+000
2.193241147239968e-005	7.792966e-007	5.007174e+000	0.000000e+000
2.217448004173492e-005	5.300301e-007	5.007547e+000	0.000000e+000
2.234181442512723e-005	3.453578e-007	5.007705e+000	0.000000e+000
2.252259406508805e-005	1.361223e-007	5.007782e+000	0.000000e+000
2.268679422091655e-005	-5.150761e-008	5.007764e+000	0.000000e+000
2.295389555988062e-005	-3.463633e-007	5.007549e+000	0.000000e+000
2.338524048013450e-005	-7.917540e-007	5.006810e+000	0.000000e+000
2.396364284197992e-005	-1.290781e-006	5.005229e+000	0.000000e+000
2.453759960689505e-005	-1.611569e-006	5.003139e+000	0.000000e+000
2.518585069570032e-005	-1.711797e-006	5.000459e+000	0.000000e+000
2.589947406910542e-005	-1.506313e-006	4.997610e+000	0.000000e+000
2.654568425213529e-005	-1.072238e-006	4.995426e+000	0.000000e+000
2.684590259328836e-005	-7.953119e-007	4.994664e+000	0.000000e+000
2.706156809973439e-005	-5.712398e-007	4.994279e+000	0.000000e+000
2.722188817703278e-005	-3.983413e-007	4.994080e+000	0.000000e+000
2.739861069778217e-005	-2.026031e-007	4.993951e+000	0.000000e+000
2.761226804061633e-005	3.887332e-008	4.993907e+000	0.000000e+000
